timestamp,elapsed_s,cpu_percent,ram_percent,ram_used_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb
2026-07-31T19:59:03,509.6,23.2,48.4,15.4,38.0,1556.0,8192.0
2026-07-31T19:59:05,511.6,20.7,48.4,15.4,37.0,1556.0,8192.0
2026-07-31T19:59:07,513.7,18.3,48.4,15.4,36.0,1550.0,8192.0
2026-07-31T19:59:09,515.7,20.2,48.4,15.4,42.0,1555.0,8192.0
2026-07-31T19:59:11,517.8,23.5,48.4,15.4,35.0,1555.0,8192.0
2026-07-31T19:59:13,519.8,16.3,48.4,15.4,37.0,1550.0,8192.0
2026-07-31T19:59:15,521.9,20.4,48.4,15.4,25.0,1541.0,8192.0
2026-07-31T19:59:17,524.0,18.1,48.4,15.4,35.0,1541.0,8192.0
2026-07-31T19:59:19,526.0,24.4,48.3,15.4,35.0,1541.0,8192.0
2026-07-31T19:59:21,528.1,19.4,48.4,15.4,42.0,1547.0,8192.0
2026-07-31T19:59:23,530.1,18.7,48.4,15.41,38.0,1541.0,8192.0
2026-07-31T19:59:25,532.2,19.8,48.4,15.4,27.0,1541.0,8192.0
2026-07-31T19:59:27,534.2,24.1,48.4,15.4,36.0,1547.0,8192.0
2026-07-31T19:59:29,536.3,20.9,48.4,15.41,38.0,1547.0,8192.0
2026-07-31T19:59:31,538.3,15.7,48.4,15.4,40.0,1541.0,8192.0
2026-07-31T19:59:33,540.4,19.0,48.4,15.41,36.0,1541.0,8192.0
2026-07-31T19:59:35,542.4,22.0,48.4,15.41,37.0,1547.0,8192.0
2026-07-31T19:59:38,544.5,22.0,48.4,15.4,37.0,1541.0,8192.0
2026-07-31T19:59:40,546.5,19.2,48.3,15.39,39.0,1541.0,8192.0
2026-07-31T19:59:42,548.6,16.4,48.3,15.39,39.0,1555.0,8192.0
2026-07-31T19:59:44,550.7,21.7,48.4,15.4,35.0,1564.0,8192.0
2026-07-31T19:59:46,552.7,23.5,48.3,15.39,36.0,1561.0,8192.0
2026-07-31T19:59:48,554.8,16.1,48.3,15.39,41.0,1552.0,8192.0
2026-07-31T19:59:50,556.9,20.4,48.3,15.39,38.0,1557.0,8192.0
2026-07-31T19:59:52,558.9,20.1,48.3,15.39,36.0,1556.0,8192.0
2026-07-31T19:59:54,561.0,25.9,48.3,15.39,39.0,1549.0,8192.0
2026-07-31T19:59:56,563.0,18.4,48.4,15.4,36.0,1549.0,8192.0
2026-07-31T19:59:58,565.1,22.4,48.4,15.4,36.0,1557.0,8192.0
2026-07-31T20:00:00,567.1,20.6,48.4,15.4,40.0,1551.0,8192.0
2026-07-31T20:00:02,569.2,22.5,48.4,15.41,28.0,1551.0,8192.0
2026-07-31T20:00:04,571.2,18.8,48.4,15.41,39.0,1556.0,8192.0
2026-07-31T20:00:06,573.3,19.7,48.4,15.41,31.0,1551.0,8192.0
2026-07-31T20:00:08,575.4,17.4,48.4,15.42,36.0,1551.0,8192.0
2026-07-31T20:00:10,577.4,25.5,48.4,15.41,33.0,1556.0,8192.0
